# iptest.coe 数据注释（每行为16进制，后为对应浮点值）
3f800000  // 1.0
40000000  // 2.0
40400000  // 3.0
40800000  // 4.0
40a00000  // 5.0
40c00000  // 6.0
40e00000  // 7.0
41000000  // 8.0
41100000  // 9.0
41200000  // 10.0
41280000  // 10.5
412e0000  // 10.875
41340000  // 11.25
41390000  // 11.5625
413e0000  // 11.875
41420000  // 12.25
41460000  // 12.75
414a0000  // 13.25
414e0000  // 13.75
41510000  // 14.25
41540000  // 14.5
41570000  // 14.75
415a0000  // 15.25
415d0000  // 15.625
41600000  // 16.0
41610000  // 16.0625
41620000  // 16.125
41630000  // 16.1875
41640000  // 16.25
41650000  // 16.3125
41660000  // 16.375
41670000  // 16.4375
41680000  // 16.5
41690000  // 16.5625
416a0000  // 16.625
416b0000  // 16.6875
416c0000  // 16.75
416d0000  // 16.8125
416e0000  // 16.875
416f0000  // 16.9375
41700000  // 17.0
41710000  // 17.0625
41720000  // 17.125
41730000  // 17.1875
41740000  // 17.25
41750000  // 17.3125
41760000  // 17.375
41770000  // 17.4375
41780000  // 17.5
41790000  // 17.5625
417a0000  // 17.625
417b0000  // 17.6875
417c0000  // 17.75
417d0000  // 17.8125
417e0000  // 17.875
417f0000  // 17.9375
41800000  // 18.0
41810000  // 18.0625
41820000  // 18.125
41830000  // 18.1875
41840000  // 18.25
41850000  // 18.3125
41860000  // 18.375
41870000  // 18.4375
41880000  // 18.5
41890000  // 18.5625
418a0000  // 18.625
418b0000  // 18.6875
418c0000  // 18.75
418d0000  // 18.8125
418e0000  // 18.875
418f0000  // 18.9375
41900000  // 19.0
41910000  // 19.0625
41920000  // 19.125
41930000  // 19.1875
41940000  // 19.25
41950000  // 19.3125
41960000  // 19.375
41970000  // 19.4375
41980000  // 19.5
41990000  // 19.5625
419a0000  // 19.625
419b0000  // 19.6875
419c0000  // 19.75
419d0000  // 19.8125
419e0000  // 19.875
419f0000  // 19.9375
41a00000  // 20.0
41a10000  // 20.0625
41a20000  // 20.125
41a30000  // 20.1875
41a40000  // 20.25
41a50000  // 20.3125
41a60000  // 20.375
41a70000  // 20.4375
41a80000  // 20.5
